CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
CN,31/3/2020,1380.0,532.0,110.0,62.0,77.0
CB,31/3/2020,1213.0,543.0,54.0,54.0,43.0
CM,31/3/2020,7047.0,3230.0,353.0,774.0,397.0
CL,31/3/2020,6847.0,2692.0,345.0,585.0,1259.0
CT,31/3/2020,19991.0,13969.0,1769.0,1849.0,5701.0
CE,31/3/2020,51.0,6.0,3.0,1.0,0.0
VC,31/3/2020,5922.0,2189.0,365.0,395.0,240.0
EX,31/3/2020,1679.0,372.0,58.0,152.0,113.0
GA,31/3/2020,4432.0,1338.0,158.0,103.0,259.0
MD,31/3/2020,29840.0,15227.0,1514.0,3865.0,10827.0
ME,31/3/2020,62.0,32.0,3.0,1.0,0.0
MC,31/3/2020,1041.0,304.0,59.0,37.0,43.0
NC,31/3/2020,2497.0,1120.0,104.0,130.0,236.0
PV,31/3/2020,6838.0,3806.0,324.0,369.0,2165.0
RI,31/3/2020,1960.0,619.0,54.0,90.0,569.0
